Country ,Response ,Round 4 ,Round 5 ,"Round 6 
"
 Ghana,Not at all free,1.6%,0.6%,"1.7%"
 Ghana,Not very free,1.7%,1.8%,"2.6%"
 Ghana,Somewhat free,7.2%,9.7%,"10.4%"
 Ghana,Completely free,87.4%,87.2%,"84.3%"
 Ghana,Don't know,2.1%,0.8%,"1.0%"
,(N),"1,200 (100%)","2,400 (100%)","2,396 (100%)"
Nigeria ,Not at all free,10.1%,5.9%,"7.0%"
Nigeria ,Not very free,18.7%,12.4%,"16.9%"
Nigeria ,Somewhat free,24.5%,31.6%,"29.6%"
Nigeria ,Completely free,41.7%,49.1%,"45.1%"
Nigeria ,Don't know,5.0%,1.0%,"1.5%"
Nigeria ,(N),"2,324 (100%)","2,400 (100%)","2,400 (100%)"
Uganda,Not at all free,2.6%,4.3%,"2.0%"
Uganda,Not very free,9.7%,8.3%,"4.9%"
Uganda,Somewhat free,27.9%,27.0%,"15.5%"
Uganda,Completely free,57.9%,59.4%,"76.0%"
Uganda,Don't know,2.0%,0.9%,"1.6%"
,(N),"2,431 (100%)","2,400 (100%)","2,400 (100%)"
